SESSION_DURATION, FREQ
360, 5988
361, 289
362, 118
363, 86
366, 43
364, 39
400, 39
375, 38
379, 34
370, 34
365, 33
390, 31
367, 30
376, 30
401, 29
387, 28
393, 28
372, 27
386, 26
395, 25
371, 25
374, 25
369, 25
368, 25
398, 24
388, 24
380, 24
389, 24
402, 23
377, 23
391, 23
378, 21
399, 21
396, 20
381, 20
385, 19
403, 19
394, 19
384, 18
382, 18
373, 17
383, 17
392, 16
397, 15
407, 15
406, 12
404, 12
409, 10
405, 9
419, 8
408, 8
412, 8
410, 7
413, 6
416, 6
417, 6
418, 5
414, 4
421, 4
420, 4
411, 4
427, 3
415, 3
432, 1
433, 1
439, 1
431, 1
3, 1
459, 1
447, 1
280, 1
323, 1
429, 1
2, 1
240, 1
424, 1
422, 1
437, 1
6, 1
